time,value,is_changepoint
0,1.1214962292980595,no
1,0.9426651261919153,no
2,0.4031960302687991,no
3,-0.2934288551216625,no
4,-0.5743074870294929,no
5,-1.0849473811550254,no
6,-0.41937946806801163,no
7,0.018935886380438346,no
8,0.623316417711846,no
9,1.536149296834255,no
10,1.7409091603912816,no
11,2.051703703599627,no
12,0.6384001894023976,no
13,0.5486930106811457,no
14,-0.2125368668501388,no
15,0.013749126561190012,no
16,0.14880983597607,no
17,0.1635284853313118,no
18,1.897997315187439,no
19,1.6579340030214134,no
20,2.8447844385162195,no
21,1.6218988328670014,no
22,1.2696459559280746,no
23,0.9479057398771089,no
24,0.24823674890404254,no
25,0.27109416160211997,yes
26,0.6012714690807257,no
27,1.9638777275054928,no
28,2.4058943017150844,no
29,2.1603787636120795,no
30,2.653021551450762,no
31,2.6302422291515883,no
32,2.1672420831416983,no
33,1.900648370044954,no
34,0.6392456915214698,no
35,0.9261522810148497,no
36,1.7007734373862495,no
37,2.114997001994879,no
38,2.5608972952926123,no
39,3.544458039317542,no
40,3.012875548231654,no
41,3.73017069321913,no
42,2.6946843638167333,no
43,2.8311515823580367,no
44,1.5925217307525887,no
45,2.0309433269232073,no
46,1.9180019103182229,no
47,2.502600804744764,no
48,3.2807166427258965,no
49,3.2786059081935983,no
50,-0.03890687766970344,yes
51,0.11514469108191117,no
52,-0.26083055108544917,no
53,-1.6028085522978275,no
54,-1.4337505749859742,no
55,-1.5254043377879583,no
56,-1.8019508271507605,no
57,-0.938164718968729,no
58,-0.04584450628604822,no
59,0.21179188280568237,no
60,0.6070671683315334,no
61,0.6276767611311048,no
62,-0.03193958766467522,no
63,-0.5093408620803364,no
64,-0.8078327975830406,no
65,-0.7926626666688175,no
66,-1.263702632888315,no
67,-0.756316161320801,no
68,0.6539838846224881,no
69,1.039181766829142,no
70,0.9530783360822233,no
71,0.5846593087566678,no
72,0.3789183086882727,no
73,-0.005047297176443883,no
74,-0.3257930437614064,no
75,-12.073284032544285,yes
76,-10.985299021088675,no
77,-11.105443872355911,no
78,-10.159082851902342,no
79,-9.744065848145468,no
80,-9.73365351235421,no
81,-9.337054697472244,no
82,-9.562841115527014,no
83,-10.415757451905112,no
84,-11.342362490064435,no
85,-11.616152164963092,no
86,-11.151346186288702,no
87,-10.429303505950227,no
88,-9.387541028841701,no
89,-8.835597195885683,no
90,-9.042472454146061,no
91,-8.826062322444617,no
92,-9.58027111131134,no
93,-10.105297327026976,no
94,-10.87201188348659,no
95,-10.734063432244673,no
96,-10.564284857652627,no
97,-10.222152572358237,no
98,-10.034222253530091,no
99,-8.569926275463303,no
100,-20.94641864280508,yes
101,-20.328581083983565,no
102,-20.309010035007223,no
103,-21.903487576802988,no
104,-21.452703450083913,no
105,-22.456525013367447,no
106,-21.400574790162256,no
107,-21.31159417717666,no
108,-20.761111930463677,no
109,-20.03122903525928,no
110,-19.775288115644337,no
111,-20.204309173889285,no
112,-20.289200792476837,no
113,-20.996369123999006,no
114,-21.526187402690034,no
115,-21.954579978399675,no
116,-21.35551171030287,no
117,-20.81049230404345,no
118,-19.913346111752116,no
119,-19.69212526824288,no
120,-19.917131232233228,no
121,-20.06819925540892,no
122,-19.935797523800392,no
123,-20.450306566286283,no
124,-20.633236594032798,no
125,-13.032619653152857,yes
126,-13.78752822118153,no
127,-12.768298388725846,no
128,-12.592028243555017,no
129,-11.341855179200538,no
130,-11.409551272753419,no
131,-11.61577579285243,no
132,-12.100218074308154,no
133,-12.019249802111034,no
134,-13.11581463614673,no
135,-13.088783512286215,no
136,-13.070654237103765,no
137,-12.175249761266228,no
138,-11.093992412775233,no
139,-10.912276441852045,no
140,-11.084638857082574,no
141,-11.573963550454287,no
142,-11.831767648915175,no
143,-12.198248248363289,no
144,-12.647459048291175,no
145,-12.00526050990987,no
146,-12.86075732253657,no
147,-12.097659271522993,no
148,-11.304397011757692,no
149,-10.907765581608706,no
150,4.152294032629092,yes
151,3.846976311678118,no
152,3.7700912822157164,no
153,2.848094096503526,no
154,2.7852277792642517,no
155,2.083452358392344,no
156,3.10521897109034,no
157,2.6883597273679953,no
158,3.6853340905320797,no
159,4.657935435352187,no
160,4.205192591470813,no
161,4.181620027424676,no
162,3.7946083469988627,no
163,4.006143660715422,no
164,3.302226947074533,no
165,2.3998839690439953,no
166,2.359677958463434,no
167,3.9511382664496764,no
168,4.2544962146733365,no
169,4.776487678103945,no
170,5.524025961899998,no
171,4.609095497010403,no
172,4.420771370427846,no
173,4.5501449534143354,no
174,3.8649120165249387,no
175,7.974015818409917,yes
176,8.231372133173299,no
177,9.03995638047549,no
178,10.047862771863846,no
179,9.955465317225139,no
180,10.353973597173228,no
181,10.50998966501437,no
182,9.439675801327347,no
183,9.597509477726458,no
184,8.575204551834439,no
185,8.63550641368468,no
186,8.646333808129821,no
187,8.837543235768495,no
188,9.661532154505531,no
189,9.900003537805857,no
190,10.918387185224491,no
191,10.027537345249021,no
192,10.344965386383317,no
193,9.05542200420013,no
194,9.41967229823334,no
195,8.745145521533027,no
196,9.15826892409396,no
197,9.716409087979185,no
198,9.873840185125154,no
199,10.664518096235417,no
