CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,MEDV
2.3004,0.0,19.58,0.605,6.319,96.1,2.1,403,14.7,23.8
13.3598,0.0,18.1,0.693,5.887,94.7,1.7821,666,20.2,12.7
0.12744,0.0,6.91,0.448,6.77,2.9,5.7209,233,17.9,26.6
0.15876,0.0,10.81,0.413,5.961,17.5,5.2873,305,19.2,21.7
0.03768,80.0,1.52,0.404,7.274,38.3,7.309,329,12.6,34.6
0.03705,20.0,3.33,0.4429,6.968,37.2,5.2447,216,14.9,35.4
0.07244,60.0,1.69,0.411,5.884,18.5,10.7103,411,18.3,18.6
0.1,34.0,6.09,0.433,6.982,17.7,5.4917,329,16.1,33.1
4.81213,0.0,18.1,0.713,6.701,90.0,2.5975,666,20.2,16.4
0.15086,0.0,27.74,0.609,5.454,92.7,1.8209,711,20.1,15.2
38.3518,0.0,18.1,0.693,5.453,100.0,1.4896,666,20.2,5.0
0.05479,33.0,2.18,0.472,6.616,58.1,3.37,222,18.4,28.4
4.54192,0.0,18.1,0.77,6.398,88.0,2.5182,666,20.2,25.0
0.7857,20.0,3.97,0.647,7.014,84.6,2.1329,264,13.0,30.7
3.53501,0.0,19.58,0.871,6.152,82.6,1.7455,403,14.7,15.6
1.22358,0.0,19.58,0.605,6.943,97.4,1.8773,403,14.7,41.3
0.08826,0.0,10.81,0.413,6.417,6.6,5.2873,305,19.2,24.2
3.56868,0.0,18.1,0.58,6.437,75.0,2.8965,666,20.2,23.2
3.47428,0.0,18.1,0.718,8.78,82.9,1.9047,666,20.2,21.9
0.05735,0.0,4.49,0.449,6.63,56.1,4.4377,247,18.5,26.6
0.04981,21.0,5.64,0.439,5.998,21.4,6.8147,243,16.8,23.4
0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,279,19.2,24.7
7.75223,0.0,18.1,0.713,6.301,83.7,2.7831,666,20.2,14.9
8.26725,0.0,18.1,0.668,5.875,89.6,1.1296,666,20.2,50.0
5.66637,0.0,18.1,0.74,6.219,100.0,2.0048,666,20.2,18.4
0.17331,0.0,9.69,0.585,5.707,54.0,2.3817,391,19.2,21.8
0.14476,0.0,10.01,0.547,5.731,65.2,2.7592,432,17.8,19.3
1.27346,0.0,19.58,0.605,6.25,92.6,1.7984,403,14.7,27.0
6.39312,0.0,18.1,0.584,6.162,97.4,2.206,666,20.2,13.3
8.79212,0.0,18.1,0.584,5.565,70.6,2.0635,666,20.2,11.7
0.0566,0.0,3.41,0.489,7.007,86.3,3.4217,270,17.8,23.6
0.03932,0.0,3.41,0.489,6.405,73.9,3.0921,270,17.8,22.0
8.64476,0.0,18.1,0.693,6.193,92.6,1.7912,666,20.2,13.8
0.46296,0.0,6.2,0.504,7.412,76.9,3.6715,307,17.4,31.7
2.924,0.0,19.58,0.605,6.101,93.0,2.2834,403,14.7,25.0
15.288,0.0,18.1,0.671,6.649,93.3,1.3449,666,20.2,13.9
1.46336,0.0,19.58,0.605,7.489,90.8,1.9709,403,14.7,50.0
0.29819,0.0,6.2,0.504,7.686,17.0,3.3751,307,17.4,46.7
9.32909,0.0,18.1,0.713,6.185,98.7,2.2616,666,20.2,14.1
0.32264,0.0,21.89,0.624,5.942,93.5,1.9669,437,21.2,17.4
0.03041,0.0,5.19,0.515,5.895,59.6,5.615,224,20.2,18.5
41.5292,0.0,18.1,0.693,5.531,85.4,1.6074,666,20.2,8.5
0.55778,0.0,21.89,0.624,6.335,98.2,2.1107,437,21.2,18.1
0.34006,0.0,21.89,0.624,6.458,98.9,2.1185,437,21.2,19.2
1.80028,0.0,19.58,0.605,5.877,79.2,2.4259,403,14.7,23.8
0.38214,0.0,6.2,0.504,8.04,86.5,3.2157,307,17.4,37.6
0.09744,0.0,5.96,0.499,5.841,61.4,3.3779,279,19.2,20.0
9.82349,0.0,18.1,0.671,6.794,98.8,1.358,666,20.2,13.3
11.9511,0.0,18.1,0.659,5.608,100.0,1.2852,666,20.2,27.9
0.08387,0.0,12.83,0.437,5.874,36.6,4.5026,398,18.7,20.3
1.19294,0.0,21.89,0.624,6.326,97.7,2.271,437,21.2,19.6
1.49632,0.0,19.58,0.871,5.404,100.0,1.5916,403,14.7,19.6
22.0511,0.0,18.1,0.74,5.818,92.4,1.8662,666,20.2,10.5
0.09849,0.0,25.65,0.581,5.879,95.8,2.0063,188,19.1,18.8
7.99248,0.0,18.1,0.7,5.52,100.0,1.5331,666,20.2,12.3
5.82401,0.0,18.1,0.532,6.242,64.7,3.4242,666,20.2,23.0
0.19073,22.0,5.86,0.431,6.718,17.5,7.8265,330,19.1,26.2
1.25179,0.0,8.14,0.538,5.57,98.1,3.7979,307,21.0,13.6
0.0795,60.0,1.69,0.411,6.579,35.9,10.7103,411,18.3,24.1
0.15098,0.0,10.01,0.547,6.021,82.6,2.7474,432,17.8,19.2
2.36862,0.0,19.58,0.871,4.926,95.7,1.4608,403,14.7,14.6
4.64689,0.0,18.1,0.614,6.98,67.6,2.5329,666,20.2,29.8
0.11132,0.0,27.74,0.609,5.983,83.5,2.1099,711,20.1,20.1
0.03738,0.0,5.19,0.515,6.31,38.5,6.4584,224,20.2,20.7
0.32982,0.0,21.89,0.624,5.822,95.4,2.4699,437,21.2,18.4
7.83932,0.0,18.1,0.655,6.209,65.4,2.9634,666,20.2,21.4
0.09103,0.0,2.46,0.488,7.155,92.2,2.7006,193,17.8,37.9
0.37578,0.0,10.59,0.489,5.404,88.6,3.665,277,18.6,19.3
9.18702,0.0,18.1,0.7,5.536,100.0,1.5804,666,20.2,11.3
0.07875,45.0,3.44,0.437,6.782,41.1,3.7886,398,15.2,32.0
9.2323,0.0,18.1,0.631,6.216,100.0,1.1691,666,20.2,50.0
9.39063,0.0,18.1,0.74,5.627,93.9,1.8172,666,20.2,12.8
0.20608,22.0,5.86,0.431,5.593,76.5,7.9549,330,19.1,17.6
6.28807,0.0,18.1,0.74,6.341,96.4,2.072,666,20.2,14.9
0.24103,0.0,7.38,0.493,6.083,43.7,5.4159,287,19.6,22.2
51.1358,0.0,18.1,0.597,5.757,100.0,1.413,666,20.2,15.0
0.80271,0.0,8.14,0.538,5.456,36.6,3.7965,307,21.0,20.2
0.02729,0.0,7.07,0.469,7.185,61.1,4.9671,242,17.8,34.7
0.13642,0.0,10.59,0.489,5.891,22.3,3.9454,277,18.6,22.6
0.05083,0.0,5.19,0.515,6.316,38.1,6.4584,224,20.2,22.2
0.18836,0.0,6.91,0.448,5.786,33.3,5.1004,233,17.9,20.0
1.12658,0.0,19.58,0.871,5.012,88.0,1.6102,403,14.7,15.3
0.537,0.0,6.2,0.504,5.981,68.1,3.6715,307,17.4,24.3
0.07886,80.0,4.95,0.411,7.148,27.7,5.1167,245,19.2,37.3
0.00906,90.0,2.97,0.4,7.088,20.8,7.3073,285,15.3,32.2
0.17899,0.0,9.69,0.585,5.67,28.8,2.7986,391,19.2,23.1
0.11425,0.0,13.89,0.55,6.373,92.4,3.3633,276,16.4,23.0
18.0846,0.0,18.1,0.679,6.434,100.0,1.8347,666,20.2,7.2
0.62356,0.0,6.2,0.507,6.879,77.7,3.2721,307,17.4,27.5
5.66998,0.0,18.1,0.631,6.683,96.8,1.3567,666,20.2,50.0
0.05425,0.0,4.05,0.51,6.315,73.4,3.3175,296,16.6,24.6
15.1772,0.0,18.1,0.74,6.152,100.0,1.9142,666,20.2,8.7
4.89822,0.0,18.1,0.631,4.97,100.0,1.3325,666,20.2,50.0
7.05042,0.0,18.1,0.614,6.103,85.1,2.0218,666,20.2,13.4
19.6091,0.0,18.1,0.671,7.313,97.9,1.3163,666,20.2,15.0
